step,layer,gamma_mag,beta_mag,gamma_var_tokens,beta_var_tokens,val_loss,ppl
7000,7,1.330753,0.246806,0.085127,0.044176,5.3058,201.5
7000,8,1.629412,0.347582,0.227733,0.055849,5.3058,201.5
7000,9,1.944442,0.383127,0.17328,0.032929,5.3058,201.5
7000,10,1.874069,0.41329,0.228095,0.058103,5.3058,201.5
7000,11,2.023379,0.587572,0.115719,0.046909,5.3058,201.5
8000,0,0.938979,0.057375,0.00023,0.000121,5.2001,181.29
8000,1,1.19461,0.093321,0.014487,0.003105,5.2001,181.29
8000,2,1.25565,0.163829,0.03032,0.009818,5.2001,181.29
8000,3,1.210903,0.178625,0.050265,0.032902,5.2001,181.29
8000,4,1.149219,0.127844,0.067123,0.020361,5.2001,181.29
8000,5,1.10295,0.143119,0.049786,0.026034,5.2001,181.29
8000,6,1.252122,0.259016,0.055731,0.042512,5.2001,181.29
8000,7,1.304577,0.24758,0.077354,0.044942,5.2001,181.29
8000,8,1.806032,0.444832,0.263764,0.06669,5.2001,181.29
8000,9,1.896842,0.375083,0.184313,0.037307,5.2001,181.29
8000,10,1.981192,0.471579,0.289778,0.076741,5.2001,181.29
8000,11,2.138015,0.67297,0.160662,0.07069,5.2001,181.29
9000,0,0.938508,0.064664,0.000237,0.000139,5.1334,169.6
9000,1,1.252397,0.127647,0.015772,0.003648,5.1334,169.6
9000,2,1.312342,0.198012,0.028563,0.010127,5.1334,169.6
9000,3,1.240631,0.180396,0.060281,0.03637,5.1334,169.6
9000,4,1.167801,0.125727,0.050855,0.017009,5.1334,169.6
9000,5,1.159567,0.166454,0.055354,0.029219,5.1334,169.6
9000,6,1.250766,0.275248,0.058444,0.045589,5.1334,169.6
9000,7,1.31821,0.279067,0.080719,0.051938,5.1334,169.6
9000,8,1.623491,0.370684,0.209334,0.057118,5.1334,169.6
9000,9,1.852589,0.367288,0.189031,0.040552,5.1334,169.6
9000,10,1.915152,0.442624,0.274931,0.075419,5.1334,169.6
